"SampDate","SpName","TagNo","TL_mm","WT_g","Sex_MFU"
1997-10-08,"Atlantic Salmon","A685","516","1600","U"
1997-10-08,"Atlantic Salmon","A686","530","1500","U"
1997-10-08,"Atlantic Salmon","A687","530","1300","U"
1997-10-08,"Atlantic Salmon","A688","517","1500","U"
1997-10-10,"Atlantic Salmon","A689","485","1120","U"
1997-10-10,"Atlantic Salmon","A690","551","1370","U"
1997-10-10,"Atlantic Salmon","A691","546","1300","U"
1997-10-10,"Atlantic Salmon","A692","538","1260","U"
1997-10-10,"Atlantic Salmon","A693","487","840","U"
1997-10-10,"Atlantic Salmon","A694","538","1280","U"
1997-10-10,"Atlantic Salmon","A696","549","1140","U"
1997-10-10,"Atlantic Salmon","A697","564","1350","U"
1997-10-10,"Atlantic Salmon","A698","552","1150","U"
1997-10-10,"Atlantic Salmon","A699","512","850","U"
1997-10-10,"Atlantic Salmon","A700","507","1300","U"
1997-10-10,"Atlantic Salmon","A399","496","1120","U"
1997-10-10,"Atlantic Salmon","A400","490","1100","U"
1997-10-10,"Atlantic Salmon","A974","495","900","U"
1997-10-10,"Atlantic Salmon","A975","545","1600","U"
1997-10-10,"Atlantic Salmon","A702","575","1940","U"
1997-10-10,"Atlantic Salmon","A703","520","1300","U"
1997-10-10,"Atlantic Salmon","A704","516","1400","U"
1997-10-10,"Atlantic Salmon","A706","535","1450","U"
1997-10-10,"Atlantic Salmon","A707","488","900","U"
1997-10-10,"Atlantic Salmon","A708","523","1400","U"
1997-10-10,"Atlantic Salmon","A709","556","1440","U"
1997-10-10,"Atlantic Salmon","A710","492","1120","U"
1997-10-10,"Atlantic Salmon","A712","507","1200","U"
1997-10-10,"Atlantic Salmon","A713","552","1400","U"
1997-10-10,"Atlantic Salmon","A714","519","1050","U"
1997-10-10,"Atlantic Salmon","A715","490","1300","U"
1997-10-13,"Atlantic Salmon","A716","548","1400","U"
1997-10-13,"Atlantic Salmon","A717","515","1350","U"
1997-10-13,"Atlantic Salmon","A718","483","900","U"
1997-10-13,"Atlantic Salmon","A719","520","1300","U"
1997-10-15,"Atlantic Salmon","D1504","514",NA,"U"
1997-10-15,"Atlantic Salmon","D1505","532",NA,"U"
1997-10-15,"Atlantic Salmon","D1506","487",NA,"U"
1997-10-15,"Atlantic Salmon","D1507","505",NA,"U"
1997-10-15,"Atlantic Salmon","D1508","525",NA,"U"
1997-10-15,"Atlantic Salmon","D1509","527",NA,"U"
1997-10-15,"Atlantic Salmon","D1510","527",NA,"U"
1997-10-15,"Atlantic Salmon","D1511","514",NA,"U"
1997-10-15,"Atlantic Salmon","D1512","516",NA,"U"
1997-10-15,"Atlantic Salmon","D1513","470",NA,"U"
1997-10-15,"Atlantic Salmon","D1514","518",NA,"U"
1997-10-15,"Atlantic Salmon","D1515","508",NA,"U"
1997-10-15,"Atlantic Salmon","D1516","532",NA,"U"
1997-10-15,"Atlantic Salmon","D1517","524",NA,"U"
1997-10-15,"Atlantic Salmon","D1518","485",NA,"U"
1997-10-15,"Atlantic Salmon","D1519","509",NA,"U"
1997-10-15,"Atlantic Salmon","D1520","500",NA,"U"
1997-10-15,"Atlantic Salmon","D1521","511",NA,"U"
1997-10-15,"Atlantic Salmon","A720","582","1700","U"
1997-10-17,"Atlantic Salmon","A721","545","1400","U"
1997-10-17,"Atlantic Salmon","A722","524","1250","U"
